experience_years,skills_count,projects_count,feedback_score,mentor_rating
11,6,1,3.67,6.89
12,11,8,3.27,8.28
4,7,24,3.91,8.64
2,20,3,3.0,6.76
10,16,2,3.75,8.39
1,5,7,3.0,4.79
4,19,20,3.4,9.45
1,20,7,2.88,6.92
12,20,14,3.4,10.0
4,17,19,3.36,8.99
5,3,25,2.37,6.82
13,8,23,2.78,9.34
7,13,9,3.8,8.23
3,9,25,3.19,8.14
6,6,3,3.38,5.84
7,6,12,3.38,7.12
14,14,20,3.46,10.0
5,4,24,3.67,8.15
8,20,4,3.77,8.85
15,15,3,3.2,8.81
9,12,21,3.6,9.72
10,14,19,3.18,9.56
4,5,2,2.82,4.61
11,10,25,3.25,9.95
5,5,8,3.5,6.21
14,6,13,3.0,8.26
5,17,21,1.57,7.64
14,14,6,3.59,9.21
6,14,7,3.57,7.71
11,11,23,3.0,9.61
15,5,20,3.33,9.48
11,8,18,3.25,8.81
12,10,6,4.2,8.82
8,15,9,4.0,8.93
15,20,8,3.5,10.0
11,13,25,3.67,10.0
13,4,8,3.17,7.33
14,4,11,3.0,7.72
7,11,3,3.14,6.55
4,13,7,3.0,6.59
